station,latitude,longitude,elevation
HDE,40.4521,-99.3365,706.73
HEF,38.7214,-77.5154,59.0
HFD,41.7367,-72.6494,6.0
HFF,35.0367,-79.4974,115.0
HFJ,36.9062,-94.0128,400.5
HGR,39.7078,-77.7297,215.0
HIB,47.3866,-92.839,412.0
HIO,45.5406,-122.9502,62.0
HJH,40.1523,-97.587,444.53
HKY,35.7411,-81.3895,362.0
HLC,39.3756,-99.8297,678.0
HLG,40.175,-80.6463,365.0
HLR,31.1387,-97.7145,283.0
HOP,36.6686,-87.4962,174.0
HOU,29.6375,-95.2824,14.0
HQM,46.9712,-123.9366,4.0
HQZ,32.747,-96.5304,136.0
HRI,45.8258,-119.2611,195.0
HRT,30.4278,-86.6893,12.0
HRX,34.8578,-102.3264,1153.0
HSI,40.6052,-98.4279,591.84
HST,25.4884,-80.3837,2.0
HSV,34.6439,-86.7861,196.0
HTO,40.96,-72.25,17.0
HTS,38.365,-82.555,255.0
HUF,39.4515,-87.3076,179.0
HUL,46.1231,-67.7921,150.0
HUT,38.0655,-97.8606,470.0
HVN,41.2638,-72.8868,4.0
HVR,48.5428,-109.7633,792.0
HWY,38.5863,-77.7106,102.0
HXD,32.2244,-80.6975,6.0
HYA,41.67,-70.28,16.0
HYI,29.8927,-97.863,182.0
HYS,38.8422,-99.2732,609.0
HYW,33.8285,-79.1222,10.7
I19,39.691,-83.992,279.94
I35,36.8593,-83.3585,465.73
I75,41.0472,-93.6876,338.3
IAB,37.623,-97.2673,418.0
IAD,38.9348,-77.4473,98.0
IAH,29.9844,-95.3414,33.0
IBM,41.1881,-103.6774,1497.1
ICT,37.65,-97.43,408.0
IDA,43.5137,-112.0708,1445.0
IDI,40.6322,-79.1055,429.0
IDP,37.1584,-95.7784,251.0
IGQ,41.5349,-87.5295,188.0
IJD,41.7419,-72.1836,76.0
IJX,39.7746,-90.2383,190.0
IKG,27.5509,-98.0309,39.11
IKW,43.6629,-84.2613,193.5
ILG,39.6728,-75.6008,24.0
ILM,34.27,-77.9,10.0
ILN,39.4203,-83.8217,322.0
IND,39.7084,-86.3048,241.0
INT,36.1337,-80.222,296.0
IOB,38.0575,-83.9829,306.07
IPT,41.2433,-76.9217,160.0
IRS,41.8133,-85.4389,282.0
ISO,35.33,-77.61,29.0
ISP,40.7939,-73.1017,30.0
ITH,42.491,-76.4584,335.0
IWI,43.9614,-69.7126,21.0
IXD,38.8309,-94.8903,343.0
IZA,34.6068,-120.0756,205.0
IZG,43.9911,-70.9479,138.0
JAC,43.6128,-110.737,1964.0
JAS,30.8857,-94.0349,65.0
JAX,30.4941,-81.6879,9.0
JFK,40.6386,-73.7622,7.0
JFX,33.902,-87.3142,147.0
JKL,37.5914,-83.3144,421.0
JLN,37.1522,-94.4952,293.32
JMR,45.8861,-93.2718,309.0
